"participant","TD_trial_number","TD_target_position","TD_rt","attention_state","TD_within_triplet_counter"
"57dd7528a0e8ce00015445fd",15,7,437,"slow","3"
"57dd7528a0e8ce00015445fd",16,6,413,"slow","3"
"57dd7528a0e8ce00015445fd",17,7,420,"fast","3"
"57dd7528a0e8ce00015445fd",19,5,411,"slow","2"
"57dd7528a0e8ce00015445fd",20,6,398,"fast","1"
"57dd7528a0e8ce00015445fd",21,8,413,"slow","3"
"57dd7528a0e8ce00015445fd",22,7,302,"slow","2"
"57dd7528a0e8ce00015445fd",23,7,465,"fast","1"
"57dd7528a0e8ce00015445fd",24,6,399,"slow","2"
"582627e157062600014023a1",1,7,361.70000000298,"slow","1"
"582627e157062600014023a1",2,5,352.400000002235,"fast","1"
"582627e157062600014023a1",3,7,703.900000002235,"fast","1"
"582627e157062600014023a1",4,6,406.999999996275,"fast","1"
"582627e157062600014023a1",5,7,402.19999999553,"slow","2"
"582627e157062600014023a1",6,6,348.60000000149,"fast","3"
"582627e157062600014023a1",7,7,357.10000000149,"fast","3"
"582627e157062600014023a1",8,5,360.499999996275,"fast","2"
"582627e157062600014023a1",9,9,370,"slow","3"
"582627e157062600014023a1",10,4,446.10000000149,"slow","1"
"582627e157062600014023a1",11,7,369.79999999702,"slow","3"
"582627e157062600014023a1",12,5,347.599999997765,"slow","2"
"582627e157062600014023a1",14,6,335.900000002235,"fast","2"
"582627e157062600014023a1",15,5,370,"slow","1"
"582627e157062600014023a1",16,4,390.699999999255,"fast","1"
"582627e157062600014023a1",17,6,389.800000000745,"slow","2"
"582627e157062600014023a1",19,8,382.10000000149,"slow","3"
"582627e157062600014023a1",20,8,376.5,"fast","2"
"582627e157062600014023a1",21,7,490.5,"fast","2"
"582627e157062600014023a1",22,6,412.900000002235,"slow","3"
"582627e157062600014023a1",23,8,356.79999999702,"fast","3"
"582627e157062600014023a1",24,6,420.900000002235,"slow","1"
"588908498fd7f00001d735f8",1,7,370.20000000298,"slow","3"
"588908498fd7f00001d735f8",2,5,336.5,"slow","2"
"588908498fd7f00001d735f8",3,8,350.09999999404,"fast","2"
"588908498fd7f00001d735f8",4,5,401.79999999702,"slow","1"
"588908498fd7f00001d735f8",5,6,298.800000011921,"fast","2"
"588908498fd7f00001d735f8",6,6,340.300000011921,"slow","3"
"588908498fd7f00001d735f8",7,6,351,"fast","3"
"588908498fd7f00001d735f8",8,7,359.79999999702,"fast","3"
"588908498fd7f00001d735f8",9,6,321.899999991059,"slow","1"
"588908498fd7f00001d735f8",10,8,292.79999999702,"slow","3"
"588908498fd7f00001d735f8",11,9,330.90000000596,"fast","3"
"588908498fd7f00001d735f8",12,5,371.100000008941,"fast","1"
"588908498fd7f00001d735f8",13,7,349,"slow","1"
"588908498fd7f00001d735f8",14,7,322.100000008941,"fast","1"
"588908498fd7f00001d735f8",15,7,276.40000000596,"fast","2"
"588908498fd7f00001d735f8",16,6,270.699999988079,"slow","2"
"588908498fd7f00001d735f8",17,8,344.20000000298,"slow","2"
"588908498fd7f00001d735f8",18,4,380.800000011921,"slow","1"
"588908498fd7f00001d735f8",19,4,386.100000008941,"fast","1"
"588908498fd7f00001d735f8",20,8,278.90000000596,"fast","3"
"588908498fd7f00001d735f8",21,6,312.29999999702,"fast","1"
"588908498fd7f00001d735f8",22,9,303,"slow","3"
"588908498fd7f00001d735f8",23,5,397.200000017881,"fast","2"
"588908498fd7f00001d735f8",24,7,339.70000000298,"slow","2"
"58b20a24c352cc0001ed554b",1,7,406.299999982119,"fast","3"
"58b20a24c352cc0001ed554b",2,5,357.700000017881,"fast","2"
"58b20a24c352cc0001ed554b",3,8,447.90000000596,"fast","3"
"58b20a24c352cc0001ed554b",4,6,411.59999999404,"slow","2"
"58b20a24c352cc0001ed554b",5,7,367.59999999404,"slow","2"
"58b20a24c352cc0001ed554b",6,4,420.999999970198,"slow","1"
"58b20a24c352cc0001ed554b",7,7,343.699999988079,"slow","3"
"58b20a24c352cc0001ed554b",8,6,349.100000023842,"slow","3"
"58b20a24c352cc0001ed554b",9,5,508.299999982119,"fast","1"
"58b20a24c352cc0001ed554b",10,6,400.700000017881,"fast","3"
"58b20a24c352cc0001ed554b",11,6,457.100000023842,"fast","1"
"58b20a24c352cc0001ed554b",12,5,393.700000017881,"slow","2"
"58b20a24c352cc0001ed554b",13,4,444.90000000596,"fast","1"
"58b20a24c352cc0001ed554b",14,6,389.40000000596,"fast","2"
"58b20a24c352cc0001ed554b",15,8,288.999999970198,"slow","3"
"58b20a24c352cc0001ed554b",16,9,394.59999999404,"fast","3"
"58b20a24c352cc0001ed554b",17,7,408.200000017881,"slow","1"
