within_triplet_counter,attention_state,participant,TD_rt,TD_trial_number,within_stream_position
1,slow,055e7,517.5,19.0,6
3,fast,055e7,407.99999976158136,3.0,6
1,fast,055e7,373.7999999523163,7.0,6
2,slow,055e7,383.39999985694885,14.0,5
3,slow,055e7,72.89999985694884,18.0,7
1,fast,055e7,431.7999999523163,4.0,5
3,slow,055e7,113.19999980926514,24.0,9
2,fast,055e7,618.5,8.0,7
2,fast,055e7,581.5,5.0,6
1,slow,055e7,515.0,22.0,7
1,slow,055e7,510.7999997138977,13.0,4
1,slow,055e7,433.19999980926514,16.0,5
3,slow,055e7,49.39999985694885,21.0,8
2,slow,055e7,408.2999999523163,20.0,7
2,slow,055e7,419.2000000476837,17.0,6
1,fast,055e7,415.7999997138977,1.0,4
2,fast,055e7,505.2000000476837,2.0,5
2,slow,055e7,394.2999999523163,23.0,8
2,fast,471ac,373.59999999962747,20.0,7
2,fast,471ac,426.09999999962747,23.0,8
1,fast,471ac,341.2999999998138,22.0,7
2,fast,471ac,371.5,17.0,6
2,slow,471ac,376.3999999994412,2.0,5
1,slow,471ac,423.8999999994412,1.0,4
1,slow,471ac,356.8999999994412,10.0,7
3,slow,471ac,394.59999999962747,3.0,6
3,slow,471ac,396.5,9.0,8
3,fast,471ac,404.0,18.0,7
1,slow,471ac,422.8000000007451,4.0,5
3,slow,471ac,430.5,6.0,7
3,fast,471ac,393.4000000003725,21.0,8
1,fast,471ac,367.9000000003725,13.0,4
3,fast,471ac,380.59999999962747,24.0,9
2,slow,471ac,402.59999999962747,5.0,6
2,slow,471ac,367.2999999998138,8.0,7
3,fast,471ac,378.7000000001863,15.0,6
1,slow,471ac,456.79999999888236,7.0,6
2,fast,471ac,418.2000000001863,14.0,5
1,fast,471ac,395.2000000001863,19.0,6
1,fast,471ac,409.7999999998138,16.0,5
3,fast,11341,384.0,24.0,9
1,fast,11341,359.1999998092652,22.0,7
1,slow,11341,360.1000001430512,7.0,6
1,fast,11341,379.0,16.0,5
2,fast,11341,363.59999990463257,17.0,6
3,fast,11341,277.10000014305115,15.0,6
3,slow,11341,383.69999980926514,12.0,9
3,slow,11341,405.2000000476837,9.0,8
1,slow,11341,413.39999985694885,10.0,7
3,fast,11341,364.7999999523163,21.0,8
3,slow,11341,434.6000001430512,3.0,6
2,slow,11341,353.2000000476837,2.0,5
1,fast,11341,373.50000023841864,13.0,4
1,slow,11341,411.09999990463257,1.0,4
2,slow,11341,359.2999999523163,11.0,8
1,slow,11341,375.0,4.0,5
1,fast,11341,397.2000002861023,19.0,6
2,slow,11341,411.80000019073486,8.0,7
2,fast,11341,350.6000001430512,14.0,5
3,slow,11341,367.39999985694885,6.0,7
3,fast,11341,371.39999985694885,18.0,7
2,slow,025ce,395.1999999880791,23.0,8
2,fast,025ce,404.4000000357628,2.0,5
1,slow,025ce,411.6999999880791,19.0,6
1,fast,025ce,390.9000000357628,4.0,5
3,slow,025ce,94.10000002384186,18.0,7
3,slow,025ce,287.39999997615814,15.0,6
1,fast,025ce,372.8000000119209,10.0,7
1,fast,025ce,441.8000000119209,1.0,4
2,fast,025ce,388.9000000357628,11.0,8
1,slow,025ce,433.5,13.0,4
1,slow,025ce,405.3999999761581,16.0,5
2,slow,025ce,370.1999999880791,20.0,7
3,fast,025ce,419.7000000476837,6.0,7
1,fast,025ce,428.0999999642372,7.0,6
3,slow,025ce,100.5,21.0,8
3,fast,025ce,426.6000000238418,3.0,6
2,slow,025ce,407.3999999761581,14.0,5
3,fast,025ce,401.5,9.0,8
2,fast,025ce,456.8999999761581,5.0,6
2,slow,025ce,469.5,17.0,6
3,slow,025ce,255.5,24.0,9
2,fast,025ce,529.7999999523163,8.0,7
2,slow,91996,413.4000000003725,5.0,6
1,slow,91996,437.1999999992548,4.0,5
3,fast,91996,451.9000000003725,24.0,9
3,fast,91996,456.79999999888236,18.0,7
3,slow,91996,385.8000000007451,9.0,8
2,fast,91996,359.8000000007451,23.0,8
2,fast,91996,374.6000000014901,17.0,6
3,slow,91996,420.9000000003725,3.0,6
1,slow,91996,395.20000000111764,7.0,6
3,slow,91996,426.0,12.0,9
2,slow,91996,448.29999999888236,2.0,5
1,slow,91996,493.1999999992548,1.0,4
2,fast,91996,400.50000000186265,20.0,7
1,slow,91996,554.0,10.0,7
1,fast,91996,424.70000000111764,16.0,5
2,fast,91996,432.4000000003725,14.0,5
1,fast,91996,419.6999999992548,19.0,6
3,fast,91996,515.0999999996276,15.0,6
2,slow,91996,349.1000000014901,11.0,8
3,fast,91996,427.0,21.0,8
1,fast,91996,403.6000000014901,13.0,4
2,slow,91996,393.3000000007451,8.0,7
3,fast,4df78,302.0,3.0,6
1,fast,4df78,364.0,7.0,6
1,fast,4df78,354.0,10.0,7
3,fast,4df78,287.0,6.0,7
3,slow,4df78,282.0,18.0,7
2,slow,4df78,564.0,23.0,8
2,slow,4df78,380.0,14.0,5
2,fast,4df78,311.0,11.0,8
3,fast,4df78,69.0,12.0,9
1,slow,4df78,804.0,22.0,7
2,slow,4df78,389.0,17.0,6
2,slow,4df78,583.0,20.0,7
2,fast,4df78,36.0,5.0,6
1,slow,4df78,343.0,16.0,5
1,fast,4df78,390.0,1.0,4
3,fast,4df78,282.0,9.0,8
3,slow,4df78,288.0,24.0,9
3,slow,4df78,370.0,15.0,6
2,slow,6f176,365.2000000476837,23.0,8
1,slow,6f176,408.2000000476837,16.0,5
2,fast,6f176,27.70000004768372,8.0,7
1,fast,6f176,608.1000000238419,10.0,7
3,fast,6f176,357.6000000238418,9.0,8
2,fast,6f176,446.3999999761581,2.0,5
1,fast,6f176,407.8999999761581,4.0,5
3,slow,6f176,357.2000000476837,21.0,8
2,slow,6f176,358.1000000238418,17.0,6
